,en
PAYMENT_IS,Payment is
TRANSPORT_<ammount>_OF_<type>_TO_<destination>,Transport <ammount> of <type> to <destination>.
DELIVER_<ammount>_OF_<type>_TO_<destination>,Deliver <ammount> of <type> to <destination>.
<destination>_NEEDS_A_DELIVERY_OF_<ammount>_OF_<type>,<destination> needs a delivery of <ammount> of <type>.
THE_CONTAINERS_OF_<type>_ARE_LOADED_ON_YOUR_SHIP,The containers of <type> are loaded on your ship.
THE_CRATES_OF_<type>_ARE_CARRIED_OVER_TO_YOUR_SHIP,The crates of <type> are carried over to your ship.
TRANSPORT_THEM_TO_<destination>,Transport them to <destination>.
FLY_TO_<destination>,Fly to <destination>.
YOU_DROP_OFF_YOUR_CARGO_OF_<type>_AND_COLLECT_YOUR_PAYMENT_OF_<payment>,You drop off your cargo of <type> and collect your payment of <payment>.
THE_CONTAINERS_OF_<type>_ARE_UNLOADED_BY_ROBOTIC_DRONES_AND_THE_OVERSEER_HANDS_YOU_OVER_A_CREDIT_CHIP_WORTH_<payment>,The containers of <type> are unloaded by robotic drones and the overseer hands you over a credit chip worth <payment>.
BRING_<ammount>_PASSENGERS_TO_<destination>,Bring <ammount> passengers to <destination>.
<ammount>_PASSENGERS_NEED_A_LIFT_TO_<destination>,<ammount> passengers need a lift to <destination>.
YOU_OPEN_THE_AIRLOCK_AND_LET_A_GROUP_OF_<ammount>_PASSENGERS_ENTER_YOUR SHIP,You open the airlock and let a group of <ammount> passengers enter your ship.
FLY_THEM_TO_<destination>,Fly them to <destination>.
DROP_THEM_OFF_AT_<destination>,Drop them off at <destination>.
YOU_WISH_YOUR_PASSENGERS_BEST_OF_LUCK_ON_<destination>_AND_COLLECT_YOUR_PAYMENT_OF_<payment>,You wish your passengers best of luck on <destination> and collect your payment of <payment>.
AFTER_YOU_LANDED_ON_<destination>_THE_PASSENGERS_LEAVE_YOUR_SHIP_AND_YOU_RECEIVE_<payment>,After you landed on <destination> the passengers leave your ship and you receive <payment>.
BRING_<passengers>_PASSENGERS_AND_<ammount>_OF_<type>_TO_<destination>,Bring <passengers> passengers and <ammount> of <type> to <destination>.
<passengers>_PASSENGERS_WITH_<ammount>_OF_<type>_WANT_TO_MOVE_TO_<destination>,<passengers> passengers with <ammount> of <type> want to move to <destination>.
TRANSPORT_<ammount>_OF_<type>_TO_<destination>_DURING_<time>,Transport <ammount> of <type> to <destination> during <time>.
DELIVER_<ammount>_OF_<type>_TO_<destination>_DURING_<time>,Deliver <ammount> of <type> to <destination> during <time>.
<destination>_NEEDS_A_DELIVERY_OF_<ammount>_OF_<type>_WITHIN_<time>,<destination> needs a delivery of <ammount> of <type> within <time>.
YOU_MISSED_THE_DEADLINE_OF_THE_DELIVERY_OF_<type>_TO_<destination>,You missed the deadline of the delivery of <type> to <destination>.
YOU_ARE_TOO_LATE_TO_DELIVER_THE_FREIGHT_OF_<type>_TO_<destination>,You are too late to deliver the freight of <type> to <destination>.
BRING_<ammount>_PASSENGERS_TO_<destination>_WITHIN_<time>,Bring <ammount> passengers to <destination> within <time>.
<ammount>_PASSENGERS_NEED_A_LIFT_TO_<destination>_DURING_<time>,<ammount> passengers need a lift to <destination> during <time>.
YOU_ARE_TOO_LATE_TO_BRING_THE_PASSENEGRS_TO_<destination>_IN_TIME,You are too late to bring the passenegrs to <destination> in time.
YOU_MISSED_THE_GIVEN_DEADLINE_FOR_THE_TRANSPORT_OF_YOUR_PASSENGERS_TO_<destination>,You missed the given deadline for the transport of your passengers to <destination>.
ESCORT_A_SMALL_FREIGHTER_SAFELY_TO_<destination>,Escort a small freighter safely to <destination>.
A_SMALL_FREIGHTER_IS_LOOKING_FOR_AN_ESCORT_TO_GET_SAFELY_TO_<destination>,A small freighter is looking for an escort to get safely to <destination>.
THE_CAPTAIN_OF_THE_FREIGHTER_IS_READY_TO_TAKE_OFF_ESCORT_HIM_TO_<destination>,The captain of the freighter is ready to take off. Escort him to <destination>.
ESCORT_THE_FREIGHTER_SAFELY_TO_<destination>,Escort the freighter safely to <destination>.
AFTER_YOU_LANDED_ON_<destination>_THE_CAPTAIN_OF_THE_FREIGHTER_PAYS_YOU_<payment>_AND_THANKS_YOU_FOR_YOUR_ESCORT_SERVICE,After you landed on <destination> the captain of the freighter pays you <payment> and thanks you for your escort service.
THE_CAPTAIN_OF_THE_FREIGHTER_THANKS_YOU_FOR_ESCORTING_HIM_SAFELY_TO_<destination>_AND_HANDS_YOU_<payment>,The captain of the freighter thanks you for escorting him safely to <destination> and hands you <payment>.
ESCORT_A_FREIGHTER_SAFELY_TO_<destination>,Escort a freighter safely to <destination>.
A_FREIGHTER_IS_LOOKING_FOR_AN_ESCORT_TO_GET_SAFELY_TO_<destination>,A freighter is looking for an escort to get safely to <destination>.
ESCORT_A_SMALL_GROUP_OF_<ammount>_FREIGHTERS_SAFELY_TO_<destination>,Escort a small group of <ammount> freighters safely to <destination>.
A_SMALL_GROUP_OF_<ammount>_FREIGHTERS_IS_LOOKING_FOR_AN_ESCORT_TO_GET_SAFELY_TO_<destination>,A small group of <ammount> freighters is looking for an escort to get safely to <destination>.
THE_FREIGHTERS_ARE_READY_TO_TAKE_OFF_ESCORT_THEM_TO_<destination>,The freighters are ready to take off escort them to <destination>.
ESCORT_THE_FREIGHTERS_SAFELY_TO_<destination>,Escort the freighters safely to <destination>.
AFTER_YOU_LANDED_ON_<destination>_THE_CAPTAIN_OF_ONE_OF_THE_FREIGHTERS_PAYS_YOU_<payment>_AND_THANKS_YOU_FOR_YOUR_ESCORT_SERVICE,After you landed on <destination> the captain of one of the freighters pays you <payment> and thanks you for your escort service.
THE_CAPTAIN_OF_ONE_OF_THE_FREIGHTERS_THANKS_YOU_FOR_ESCORTING_THEM_SAFELY_TO_<destination>_AND_HANDS_YOU_<payment>,The captain of one of the freighters thanks you for escorting them safely to <destination> and hands you <payment>.
DESTROY_THE_PIRATE_VESSEL_<name>_NEAR_<destination>,Destroy the pirate vessel <name> near <destination>.
AUTHORITIES_OF_<destination>_WANT_<name>_DEAD_OR_ALIVE,Authorities of <destination> want <name> dead or alive.
THE_PIRATE_KNOWN_AS_<name>_WAS_SPOTTED_NEAR_<destination>_KILL_OR_CAPTURE_<name>_AND_RETURN_TO_<destination>,The pirate known as <name> was spotted near <destination>. Kill or capture <name> and return to <destination>.
THE_PIRATE_VESSEL_<name>_HAS_BEEN_ATTACKING_MERCHANTS_NEAR_<destination>_DESTROY_IT_OR_CAPTURE_THEIR_LEADER_AND_RETURN_TO_<destination>,The pirate vessel <name> has been attacking merchants near <destination> destroy it or capture their leader and return to <destination>.
AFTER_AN_OFFICER_VERIFIED_THAT_YOU_KILLED_<name>_HE_HANDS_YOU_<reward>,After an officer verified that you killed <name> he hands you <reward>.
YOU_TAKE_THE_CAPTURED_PIRATE_TO_<destination>_WHERE_AN_OFFICER_TAKES_<name>_INTO_CUSTODY_AND_PAYS_YOU_<reward>,You take the captured pirate to <destination> where an officer takes <name> into custody and pays you <reward>.
CAPTURE_<name>_NEAR_<destination>_ALIVE,Capture <name> near <destination> alive.
AUTHORITIES_OF_<destination>_WANT_<name>_ALIVE,Authorities of <destination> want <name> alive.
YOU_HAVE_CAPTURED_THE_CAPTAIN_OF,You have captured the captain of
