,en
SOLAR_PLANT_ALPHA,Solar Plant Alpha
SOLAR_PLANT_BETA,Solar Plant Beta
SOLAR_PLANT_GAMMA,Solar Plant Gamma
SOLAR_PLANT_DELTA,Solar Plant Delta
SOLAR_PLANT_DESC,This station produces energy cells.
SOLAR_PLANT_BAR,???
FARMING_STATION_ALPHA,Farming Station Alpha
FARMING_STATION_BETA,Farming Station Beta
FARMING_STATION_GAMMA,Farming Station Gamma
FARMING_STATION_DELTA,Farming Station Delta
FARMING_STATION_DESC,This station produces food.
FARMING_STATION_BAR,???
MINE_ALPHA,Mine Alpha
MINE_BETA,Mine Beta
MINE_GAMMA,Mine Gamma
MINE_DELTA,Mine Delta
MINE_DESC,???
MINE_BAR,???
REFINING_PLANT_ALPHA,Refining Plant Alpha
REFINING_PLANT_BETA,Refining Plant Beta
REFINING_PLANT_GAMMA,Refining Plant Gamma
REFINING_PLANT_DELTA,Refining Plant Delta
REFINING_PLANT_DESC,???
REFINING_PLANT_BAR,???
SHIPYARD,Shipyard
SHIPYARD_DESC,???
STATION01_DESC,???
STATION01_BAR,???
STATION02_DESC,???
STATION02_BAR,???
STATION03_DESC,???
STATION03_BAR,???
STATION04_DESC,???
STATION04_BAR,???
